Match ID,Stat,Who,Points
4jWxlnCt,Game Link,https://www.flashscore.com/match/4jWxlnCt/#/match-summary/match-statistics/0,4jWxlnCt
4jWxlnCt,Winner,Ian White,100
4jWxlnCt,Loser,Ritchie Edhouse,
4jWxlnCt,Max Checkout,Ian White,50
4jWxlnCt,Most 180s,Ian White,50
4jWxlnCt,Total 180s,3,
4jWxlnCt,9-Dart Finish,,250
4jWxlnCt,Highest Average,Ian White,50
4jWxlnCt,Legs Winner,Ian White,200
4jWxlnCt,Legs Loser,Ritchie Edhouse,120
4jWxlnCt,Ian White,2.0,
4jWxlnCt,Ritchie Edhouse,1.0,
fwzbaLbJ,Game Link,https://www.flashscore.com/match/fwzbaLbJ/#/match-summary/match-statistics/0,fwzbaLbJ
fwzbaLbJ,Winner,Joe Cullen,100
fwzbaLbJ,Loser,Wessel Nijman,
fwzbaLbJ,Max Checkout,Wessel Nijman,50
fwzbaLbJ,Most 180s,Joe Cullen,50
fwzbaLbJ,Total 180s,13,
fwzbaLbJ,9-Dart Finish,,250
fwzbaLbJ,Highest Average,Joe Cullen,50
fwzbaLbJ,Legs Winner,Joe Cullen,180
fwzbaLbJ,Legs Loser,Wessel Nijman,80
fwzbaLbJ,Joe Cullen,8.0,
fwzbaLbJ,Wessel Nijman,5.0,
4Cecmgft,Game Link,https://www.flashscore.com/match/4Cecmgft/#/match-summary/match-statistics/0,4Cecmgft
4Cecmgft,Winner,Madars Razma,100
4Cecmgft,Loser,Dirk van Duijvenbode,
4Cecmgft,Max Checkout,Dirk van Duijvenbode,50
4Cecmgft,Most 180s,Madars Razma,50
4Cecmgft,Total 180s,6,
4Cecmgft,9-Dart Finish,,250
4Cecmgft,Highest Average,Madars Razma,50
4Cecmgft,Legs Winner,Madars Razma,180
4Cecmgft,Legs Loser,Dirk van Duijvenbode,140
4Cecmgft,Madars Razma,4.0,
4Cecmgft,Dirk van Duijvenbode,2.0,
O4AdEmP0,Game Link,https://www.flashscore.com/match/O4AdEmP0/#/match-summary/match-statistics/0,O4AdEmP0
O4AdEmP0,Winner,Ryan Searle,100
O4AdEmP0,Loser,Matt Campbell,
O4AdEmP0,Max Checkout,Ryan Searle,50
O4AdEmP0,Most 180s,Ryan Searle,50
O4AdEmP0,Total 180s,5,
O4AdEmP0,9-Dart Finish,,250
